#{"t_start": 1750331806.7716749, "env_id": "None"}
r,l,t
-7.5966372,371,105.539179
-1.3387407,480,105.913332
-2.9446,222,106.105409
7.8399167,480,106.198983
0.36473778,98,106.58619
0.29304552,111,107.912797
2.224679,176,108.241529
0.38309312,305,108.285574
0.30783424,127,108.467315
-4.3505926,339,108.652297
-0.29167926,480,108.752936
-3.2001734,451,108.92957
0.7421855,480,109.310492
0.72488165,480,109.31055
-6.930317,327,109.464354
0.090249196,133,116.246178
0.31234375,480,116.293859
-1.191297,480,116.624522
3.3549125,480,116.725005
1.1616243,480,117.139396
-2.1126301,480,117.259211
0.33203202,213,117.282643
-4.778189,480,117.51895
15.776921,194,117.539988
14.876628,184,117.63002
9.44965,480,118.4711
-3.9727933,224,119.131213
14.722108,292,119.152513
-3.6568787,235,119.194865
2.1205554,159,119.250235
-7.305133,420,119.300111
-4.4041796,281,119.589796
3.1453505,480,119.738816
-3.235287,480,120.844453
14.865801,162,121.44909
2.541206,480,122.876301
-3.0264452,203,122.925722
0.03348534,480,123.543062
6.7234006,480,130.138819
2.4234214,480,130.55076
5.2018104,480,130.648412
4.459332,480,131.11696
-4.933709,480,131.271605
-6.1799803,480,131.285715
-4.2697606,390,131.417899
-0.76310736,480,131.488142
1.4212631,480,131.50125
0.83822143,480,131.604928
-4.9686813,480,133.034071
2.1313655,480,133.074184
9.764674,480,133.136652
-6.566404,361,133.225756
3.3457534,480,133.52012
-2.1859415,480,133.695021
-3.1973271,150,134.213827
5.840052,480,134.769426
2.8203378,142,135.779909
-4.064495,152,135.779979
15.918065,262,135.942897
-2.9757078,168,136.084413
14.615389,144,136.78512
1.4362025,480,136.803249
-4.2781186,443,136.827528
0.9784836,480,136.853659
14.90098,157,137.573348
-3.2285388,405,138.658358
-4.054914,480,138.818312
-3.2302978,462,138.896065
-4.78833,131,144.846678
-0.5492474,480,145.025898
-3.7110198,459,145.186432
4.099166,480,145.478506
8.43233,480,145.836409
0.068091676,480,145.937452
1.8472052,190,145.956696
-3.8927054,236,146.063359
-4.112306,268,146.314193
-5.011795,298,146.864874
1.0938464,83,146.987684
5.273984,480,147.457798
2.8187191,480,147.844123
0.5098073,113,147.962191
3.06188,480,147.990135
0.7150999,151,148.472938
0.49308944,113,149.50094
-7.6389227,401,149.725573
-2.9390223,167,149.965715
-4.9286385,325,150.193305
2.8453538,480,150.259315
-4.788024,289,150.350664
-4.4347625,126,150.699626
-2.5470371,480,151.000299
5.930692,480,151.804045
-4.481757,405,151.821153
-4.0862136,423,152.056795
0.3519108,86,152.228863
0.3699116,94,152.702392
-2.164968,480,153.3931
0.9295063,80,153.476933
2.4431949,480,153.579104
